target,target_label,lead_hour,sample_count,forecast_bias_c,forecast_mae_c,forecast_rmse_c,raw_bias_c,raw_mae_c,raw_rmse_c,persistence_mae_c,coverage_rate,mae_improvement_vs_raw_c,mae_improvement_vs_persistence_c
max,Max,3,296,-0.3942741146603137,0.6438522338867185,0.8301180486264123,-1.7532734734018687,1.7532734734018687,1.9049576685502334,3.773918918918919,0.9121621621621622,1.1094212395151501,3.1300666850322
max,Max,6,296,0.14652390263575787,1.298044001449967,1.859932583572202,-3.715127534879117,3.7151275348791173,4.022116158798751,2.9495945945945947,0.793918918918919,2.4170835334291505,1.6515505931446277
max,Max,9,296,0.1394895993381539,1.495654179694786,1.8335690242449056,-2.7395566261349233,2.7395566261349233,3.2322818784124814,3.540574324324324,0.831081081081081,1.2439024464401374,2.044920144629538
max,Max,12,296,0.05996793381547911,1.3131300761776818,1.560804765389298,-1.8373316695919555,2.084353558118666,2.4279787599681115,4.445878378378379,0.8175675675675675,0.7712234819409842,3.1327483022006968
max,Max,15,296,0.4360955297722988,1.2500697489317054,1.59336774210352,0.41310639575855135,1.1003043212230785,1.4578849889402756,3.090168918918919,0.8614864864864865,-0.14976542770862689,1.8400991699872136
max,Max,18,296,0.3992113507569395,0.8559015937733352,1.043206221444657,0.5293466155906882,0.9011000875211145,1.1046741152286483,2.7877702702702707,0.8006756756756757,0.04519849374777929,1.9318686764969355
max,Max,21,296,-0.053021682635779874,0.584378729380251,0.7388498623701787,-1.4405812120856205,1.4509895785209035,1.5904094978709142,3.0217905405405405,0.8783783783783784,0.8666108491406525,2.4374118111602896
max,Max,24,285,-0.055259707944982805,0.6252441230455592,0.7725394745168971,-1.572470403865132,1.5724704038651318,1.7279645461432183,3.247298245614035,0.9368421052631579,0.9472262808195726,2.6220541225684757
max,Max,27,285,-0.2004963847639492,0.6824778662065246,0.829223504558538,-1.9601089980605817,1.9601089980605817,2.075336405845373,3.5756842105263154,0.9438596491228071,1.277631131854057,2.8932063443197906
max,Max,30,285,-0.31943784697079736,1.598431644942287,1.9898930328484983,-3.8451311251302087,3.8451311251302096,4.103786353813933,2.9168070175438596,0.8807017543859649,2.2466994801879228,1.3183753726015726
max,Max,33,285,-0.07226902245987471,1.7454070604258847,1.984278843023957,-2.5856572639665574,2.585657263966557,2.9830174231108453,3.5172280701754386,0.8245614035087719,0.8402502035406723,1.771821009749554
